year;month;day;hour
2015;10;26;13
2015;10;26;15
2015;10;26;17
2015;10;26;19
2015;10;27;13
2015;10;27;15
2015;10;27;17
2015;10;27;19
2015;10;28;15
2015;10;28;17
2015;10;28;19
2015;10;29;13
2015;10;29;15
2015;10;29;17
2015;10;29;19
2015;10;30;12
2015;10;30;14
