Exercise start,Exercise end,Code,Lecturer,Week,Concepts
2016-04-05 10:00:00 +0200,2016-02-16 11:40:00 +0100,10068,2,8,cvicenie
2016-04-12 10:00:00 +0200,2016-02-16 11:40:00 +0100,10069,2,9,cvicenie
2016-04-19 10:00:00 +0200,2016-02-16 11:40:00 +0100,10070,2,10,cvicenie
2016-04-26 10:00:00 +0200,2016-02-16 11:40:00 +0100,10071,2,11,cvicenie
2016-05-03 10:00:00 +0200,2016-02-16 11:40:00 +0100,10072,2,12,cvicenie
2016-02-16 12:00:00 +0100,2016-02-16 13:40:00 +0100,10073,2,1,cvicenie
2016-02-23 12:00:00 +0100,2016-02-16 13:40:00 +0100,10074,2,2,cvicenie
2016-03-01 12:00:00 +0100,2016-02-16 13:40:00 +0100,10075,2,3,cvicenie
2016-03-08 12:00:00 +0100,2016-02-16 13:40:00 +0100,10076,2,4,cvicenie
2016-03-15 12:00:00 +0100,2016-02-16 13:40:00 +0100,10077,2,5,cvicenie
2016-03-22 12:00:00 +0100,2016-02-16 13:40:00 +0100,10078,2,6,cvicenie
2016-03-29 12:00:00 +0200,2016-02-16 13:40:00 +0100,10079,2,7,cvicenie
2016-04-05 12:00:00 +0200,2016-02-16 13:40:00 +0100,10080,2,8,cvicenie
2016-04-12 12:00:00 +0200,2016-02-16 13:40:00 +0100,10081,2,9,cvicenie
2016-04-19 12:00:00 +0200,2016-02-16 13:40:00 +0100,10082,2,10,cvicenie
2016-04-26 12:00:00 +0200,2016-02-16 13:40:00 +0100,10083,2,11,cvicenie
2016-05-03 12:00:00 +0200,2016-02-16 13:40:00 +0100,10084,2,12,cvicenie
2016-02-16 14:00:00 +0100,2016-02-16 15:40:00 +0100,10085,1,1,cvicenie
2016-02-23 14:00:00 +0100,2016-02-16 15:40:00 +0100,10086,1,2,cvicenie
2016-03-01 14:00:00 +0100,2016-02-16 15:40:00 +0100,10087,1,3,cvicenie
2016-03-08 14:00:00 +0100,2016-02-16 15:40:00 +0100,10088,1,4,cvicenie
2016-03-15 14:00:00 +0100,2016-02-16 15:40:00 +0100,10089,1,5,cvicenie
2016-03-22 14:00:00 +0100,2016-02-16 15:40:00 +0100,10090,1,6,cvicenie
