year;month;day;hour
2015;10;19;13
2015;10;19;15
2015;10;19;17
2015;10;19;19
2015;10;20;13
2015;10;20;15
2015;10;20;17
2015;10;20;19
2015;10;21;15
2015;10;21;17
2015;10;21;19
2015;10;22;13
2015;10;22;15
2015;10;22;17
2015;10;22;19
2015;10;23;12
2015;10;23;14
