year;month;day;hour
2015;11;02;13
2015;11;02;15
2015;11;02;17
2015;11;02;19
2015;11;03;13
2015;11;03;15
2015;11;03;17
2015;11;03;19
2015;11;04;15
2015;11;04;17
2015;11;04;19
2015;11;05;13
2015;11;05;15
2015;11;05;17
2015;11;05;19
2015;11;06;12
2015;11;06;14
