Exercise start,Exercise end,Lecturer
2015-09-21 13:00:00,2015-09-21 14:40:00,6
2015-09-21 15:00:00,2015-09-21 16:40:00,6
2015-09-21 17:00:00,2015-09-21 18:40:00,9
2015-09-21 19:00:00,2015-09-21 20:40:00,9
2015-09-23 15:00:00,2015-09-23 16:40:00,6
2015-09-22 13:00:00,2015-09-22 14:40:00,7
2015-09-22 15:00:00,2015-09-22 16:40:00,7
2015-09-22 17:00:00,2015-09-22 18:40:00,8
2015-09-22 19:00:00,2015-09-22 20:40:00,8
2015-09-23 17:00:00,2015-09-23 18:40:00,6
2015-09-23 19:00:00,2015-09-23 20:40:00,6
